temps,genotype,fluo,stress
306,WT,0.17,chaud
320,WT,0.346,chaud
332,WT,0.38,chaud
346,WT,0.4,chaud
363,WT,0.427,chaud
384,WT,0.449,chaud
408,WT,0.466,chaud
437,WT,0.485,chaud
473,WT,0.506,chaud
515,WT,0.52,chaud
564,WT,0.532,chaud
624,WT,0.543,chaud
696,WT,0.545,chaud
0,nqr,0.62,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0,chaud
103,nqr,0,chaud
123,nqr,0.136,chaud
143,nqr,0.146,chaud
164,nqr,0.136,chaud
184,nqr,0.163,chaud
204,nqr,0.143,chaud
225,nqr,0.158,chaud
245,nqr,0.173,chaud
265,nqr,0.176,chaud
285,nqr,0.181,chaud
306,nqr,0.194,chaud
320,nqr,0.346,chaud
332,nqr,0.386,chaud
346,nqr,0.407,chaud
363,nqr,0.426,chaud
384,nqr,0.438,chaud
408,nqr,0.465,chaud
437,nqr,0.48,chaud
473,nqr,0.49,chaud
515,nqr,0.509,chaud
564,nqr,0.528,chaud
624,nqr,0.532,chaud
696,nqr,0.55,chaud
0,nqr,0.523,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0,chaud
103,nqr,0,chaud
123,nqr,0,chaud
143,nqr,0.12,chaud
164,nqr,0,chaud
184,nqr,0,chaud
204,nqr,0,chaud
225,nqr,0,chaud
245,nqr,0,chaud
265,nqr,0,chaud
285,nqr,0.122,chaud
306,nqr,0,chaud
320,nqr,0.259,chaud
332,nqr,0.291,chaud
346,nqr,0.33,chaud
363,nqr,0.344,chaud
384,nqr,0.351,chaud
408,nqr,0.368,chaud
437,nqr,0.388,chaud
473,nqr,0.404,chaud
515,nqr,0.404,chaud
564,nqr,0.42,chaud
624,nqr,0.426,chaud
696,nqr,0.431,chaud
0,fqr1,0.609,chaud
42,fqr1,0,chaud
62,fqr1,0,chaud
83,fqr1,0.06,chaud
103,fqr1,0.096,chaud
123,fqr1,0.132,chaud
143,fqr1,0.159,chaud
164,fqr1,0.18,chaud
184,fqr1,0.188,chaud
204,fqr1,0.181,chaud
225,fqr1,0.18,chaud
245,fqr1,0.192,chaud
265,fqr1,0.195,chaud
285,fqr1,0.204,chaud
306,fqr1,0.201,chaud
320,fqr1,0.336,chaud
332,fqr1,0.371,chaud
346,fqr1,0.391,chaud
363,fqr1,0.412,chaud
384,fqr1,0.43,chaud
408,fqr1,0.448,chaud
437,fqr1,0.469,chaud
473,fqr1,0.491,chaud
515,fqr1,0.503,chaud
564,fqr1,0.518,chaud
624,fqr1,0.535,chaud
696,fqr1,0.544,chaud
0,nqrfqr1,0.603,chaud
42,nqrfqr1,0,chaud
62,nqrfqr1,0,chaud
83,nqrfqr1,0,chaud
103,nqrfqr1,0,chaud
123,nqrfqr1,0,chaud
143,nqrfqr1,0.096,chaud
164,nqrfqr1,0.105,chaud
184,nqrfqr1,0.081,chaud
204,nqrfqr1,0.101,chaud
225,nqrfqr1,0.113,chaud
245,nqrfqr1,0.107,chaud
265,nqrfqr1,0.11,chaud
285,nqrfqr1,0.112,chaud
306,nqrfqr1,0.113,chaud
320,nqrfqr1,0.297,chaud
332,nqrfqr1,0.358,chaud
346,nqrfqr1,0.389,chaud
363,nqrfqr1,0.409,chaud
384,nqrfqr1,0.434,chaud
408,nqrfqr1,0.449,chaud
437,nqrfqr1,0.464,chaud
473,nqrfqr1,0.481,chaud
515,nqrfqr1,0.497,chaud
564,nqrfqr1,0.509,chaud
624,nqrfqr1,0.509,chaud
696,nqrfqr1,0.528,chaud
0,WT,0.679,froid
42,WT,0,froid
63,WT,0,froid
83,WT,0,froid
103,WT,0,froid
124,WT,0.078,froid
144,WT,0.114,froid
164,WT,0.148,froid
184,WT,0.183,froid
204,WT,0.196,froid
225,WT,0.198,froid
245,WT,0.211,froid
265,WT,0.22,froid
286,WT,0.222,froid
306,WT,0.225,froid
320,WT,0.405,froid
332,WT,0.437,froid
346,WT,0.58,froid
365,WT,0.483,froid
384,WT,0.502,froid
408,WT,0.523,froid
438,WT,0.542,froid
473,WT,0.561,froid
515,WT,0.572,froid
564,WT,0.588,froid
624,WT,0.599,froid
696,WT,0.609,froid
782,WT,0.62,froid
0,WT,0.684,froid
42,WT,0,froid
63,WT,0,froid
83,WT,0,froid
103,WT,0.071,froid
124,WT,0.107,froid
144,WT,0.149,froid
164,WT,0.179,froid
184,WT,0.21,froid
204,WT,0.215,froid
225,WT,0.213,froid
245,WT,0.218,froid
265,WT,0.232,froid
286,WT,0.239,froid
306,WT,0.238,froid
320,WT,0.412,froid
332,WT,0.442,froid
346,WT,0.589,froid
365,WT,0.489,froid
384,WT,0.509,froid
408,WT,0.531,froid
438,WT,0.551,froid
473,WT,0.568,froid
515,WT,0.583,froid
564,WT,0.599,froid
624,WT,0.607,froid
696,WT,0.617,froid
782,WT,0.627,froid
0,WT,0.663,froid
42,WT,0,froid
63,WT,0,froid
83,WT,0,froid
103,WT,0.051,froid
124,WT,0.082,froid
144,WT,0.109,froid
164,WT,0.137,froid
184,WT,0.16,froid
204,WT,0.173,froid
225,WT,0.172,froid
245,WT,0.183,froid
265,WT,0.193,froid
286,WT,0.2,froid
306,WT,0.203,froid
320,WT,0.372,froid
332,WT,0.405,froid
346,WT,0.562,froid
365,WT,0.455,froid
384,WT,0.473,froid
408,WT,0.497,froid
438,WT,0.514,froid
473,WT,0.528,froid
515,WT,0.545,froid
564,WT,0.557,froid
624,WT,0.571,froid
696,WT,0.583,froid
782,WT,0.593,froid
0,nqr,0.706,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0.034,froid
103,nqr,0.081,froid
124,nqr,0.125,froid
144,nqr,0.17,froid
164,nqr,0.188,froid
184,nqr,0.205,froid
204,nqr,0.217,froid
225,nqr,0.225,froid
245,nqr,0.234,froid
265,nqr,0.243,froid
286,nqr,0.25,froid
306,nqr,0.26,froid
320,nqr,0.481,froid
332,nqr,0.497,froid
346,nqr,0.628,froid
365,nqr,0.538,froid
384,nqr,0.553,froid
408,nqr,0.575,froid
438,nqr,0.597,froid
473,nqr,0.61,froid
515,nqr,0.621,froid
564,nqr,0.631,froid
624,nqr,0.638,froid
696,nqr,0.647,froid
782,nqr,0.656,froid
0,nqr,0.671,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0.071,froid
124,nqr,0.113,froid
144,nqr,0.131,froid
164,nqr,0.155,froid
184,nqr,0.185,froid
204,nqr,0.19,froid
225,nqr,0.199,froid
245,nqr,0.206,froid
265,nqr,0.21,froid
286,nqr,0.217,froid
306,nqr,0.219,froid
320,nqr,0.396,froid
332,nqr,0.427,froid
346,nqr,0.577,froid
365,nqr,0.475,froid
384,nqr,0.494,froid
408,nqr,0.513,froid
438,nqr,0.532,froid
473,nqr,0.55,froid
515,nqr,0.564,froid
564,nqr,0.575,froid
624,nqr,0.587,froid
696,nqr,0.593,froid
782,nqr,0.604,froid
0,nqr,0.609,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0,froid
124,nqr,0.053,froid
144,nqr,0.066,froid
164,nqr,0.083,froid
184,nqr,0.099,froid
204,nqr,0.099,froid
225,nqr,0.106,froid
245,nqr,0.112,froid
265,nqr,0.108,froid
286,nqr,0.124,froid
306,nqr,0.12,froid
320,nqr,0.291,froid
332,nqr,0.341,froid
346,nqr,0.517,froid
365,nqr,0.399,froid
384,nqr,0.421,froid
408,nqr,0.444,froid
438,nqr,0.465,froid
473,nqr,0.48,froid
515,nqr,0.496,froid
564,nqr,0.507,froid
624,nqr,0.521,froid
696,nqr,0.531,froid
782,nqr,0.544,froid
0,nqr,0.644,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0.055,froid
124,nqr,0.08,froid
144,nqr,0.103,froid
164,nqr,0.128,froid
184,nqr,0.148,froid
204,nqr,0.159,froid
225,nqr,0.16,froid
245,nqr,0.172,froid
265,nqr,0.169,froid
286,nqr,0.18,froid
306,nqr,0.177,froid
320,nqr,0.324,froid
332,nqr,0.376,froid
346,nqr,0.543,froid
365,nqr,0.429,froid
384,nqr,0.45,froid
408,nqr,0.473,froid
438,nqr,0.492,froid
473,nqr,0.511,froid
515,nqr,0.531,froid
564,nqr,0.543,froid
624,nqr,0.563,froid
696,nqr,0.573,froid
782,nqr,0.583,froid
0,fqr1,0.686,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0.043,froid
123,fqr1,0.083,froid
143,fqr1,0.125,froid
164,fqr1,0.157,froid
184,fqr1,0.177,froid
204,fqr1,0.186,froid
225,fqr1,0.195,froid
245,fqr1,0.203,froid
265,fqr1,0.216,froid
285,fqr1,0.216,froid
305,fqr1,0.221,froid
320,fqr1,0.422,froid
332,fqr1,0.444,froid
346,fqr1,0.586,froid
363,fqr1,0.491,froid
383,fqr1,0.515,froid
408,fqr1,0.534,froid
437,fqr1,0.554,froid
473,fqr1,0.572,froid
515,fqr1,0.584,froid
564,fqr1,0.596,froid
624,fqr1,0.607,froid
696,fqr1,0.617,froid
0,fqr1,0.593,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0,froid
123,fqr1,0,froid
143,fqr1,0.069,froid
164,fqr1,0.083,froid
184,fqr1,0.09,froid
204,fqr1,0.084,froid
225,fqr1,0.092,froid
245,fqr1,0.102,froid
265,fqr1,0.11,froid
285,fqr1,0.126,froid
305,fqr1,0.127,froid
320,fqr1,0.31,froid
332,fqr1,0.333,froid
346,fqr1,0.498,froid
363,fqr1,0.385,froid
383,fqr1,0.398,froid
408,fqr1,0.434,froid
437,fqr1,0.443,froid
473,fqr1,0.463,froid
515,fqr1,0.468,froid
564,fqr1,0.487,froid
624,fqr1,0.492,froid
696,fqr1,0.503,froid
0,fqr1,0.705,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0.06,froid
123,fqr1,0.117,froid
143,fqr1,0.145,froid
164,fqr1,0.161,froid
184,fqr1,0.184,froid
204,fqr1,0.192,froid
225,fqr1,0.203,froid
245,fqr1,0.201,froid
265,fqr1,0.213,froid
285,fqr1,0.216,froid
305,fqr1,0.222,froid
320,fqr1,0.438,froid
332,fqr1,0.466,froid
346,fqr1,0.607,froid
363,fqr1,0.517,froid
383,fqr1,0.536,froid
408,fqr1,0.557,froid
437,fqr1,0.578,froid
473,fqr1,0.598,froid
515,fqr1,0.611,froid
564,fqr1,0.619,froid
624,fqr1,0.629,froid
696,fqr1,0.637,froid
0,fqr1,0.684,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0,froid
123,fqr1,0.052,froid
143,fqr1,0.081,froid
164,fqr1,0.112,froid
184,fqr1,0.135,froid
204,fqr1,0.151,froid
225,fqr1,0.167,froid
245,fqr1,0.18,froid
265,fqr1,0.182,froid
285,fqr1,0.187,froid
305,fqr1,0.187,froid
320,fqr1,0.379,froid
332,fqr1,0.429,froid
346,fqr1,0.575,froid
363,fqr1,0.48,froid
383,fqr1,0.503,froid
408,fqr1,0.523,froid
437,fqr1,0.546,froid
473,fqr1,0.566,froid
515,fqr1,0.579,froid
564,fqr1,0.592,froid
624,fqr1,0.602,froid
696,fqr1,0.612,froid
0,nqrfqr1,0.664,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0.043,froid
123,nqrfqr1,0.09,froid
143,nqrfqr1,0.129,froid
164,nqrfqr1,0.162,froid
184,nqrfqr1,0.175,froid
204,nqrfqr1,0.181,froid
225,nqrfqr1,0.188,froid
245,nqrfqr1,0.19,froid
265,nqrfqr1,0.197,froid
285,nqrfqr1,0.211,froid
305,nqrfqr1,0.208,froid
320,nqrfqr1,0.387,froid
332,nqrfqr1,0.412,froid
346,nqrfqr1,0.56,froid
363,nqrfqr1,0.467,froid
383,nqrfqr1,0.477,froid
408,nqrfqr1,0.505,froid
437,nqrfqr1,0.528,froid
473,nqrfqr1,0.545,froid
515,nqrfqr1,0.559,froid
564,nqrfqr1,0.574,froid
624,nqrfqr1,0.585,froid
696,nqrfqr1,0.597,froid
0,nqrfqr1,0.651,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0.043,froid
143,nqrfqr1,0.066,froid
164,nqrfqr1,0.088,froid
184,nqrfqr1,0.098,froid
204,nqrfqr1,0.108,froid
225,nqrfqr1,0.114,froid
245,nqrfqr1,0.116,froid
265,nqrfqr1,0.127,froid
285,nqrfqr1,0.133,froid
305,nqrfqr1,0.135,froid
320,nqrfqr1,0.335,froid
332,nqrfqr1,0.38,froid
346,nqrfqr1,0.54,froid
363,nqrfqr1,0.442,froid
383,nqrfqr1,0.463,froid
408,nqrfqr1,0.486,froid
437,nqrfqr1,0.508,froid
473,nqrfqr1,0.526,froid
515,nqrfqr1,0.538,froid
564,nqrfqr1,0.549,froid
624,nqrfqr1,0.562,froid
696,nqrfqr1,0.571,froid
0,nqrfqr1,0.573,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0,froid
143,nqrfqr1,0,froid
164,nqrfqr1,0,froid
184,nqrfqr1,0.066,froid
204,nqrfqr1,0.069,froid
225,nqrfqr1,0.078,froid
245,nqrfqr1,0.088,froid
265,nqrfqr1,0.09,froid
285,nqrfqr1,0.107,froid
305,nqrfqr1,0.109,froid
320,nqrfqr1,0.274,froid
332,nqrfqr1,0.317,froid
346,nqrfqr1,0.482,froid
363,nqrfqr1,0.348,froid
383,nqrfqr1,0.363,froid
408,nqrfqr1,0.385,froid
437,nqrfqr1,0.399,froid
473,nqrfqr1,0.424,froid
515,nqrfqr1,0.436,froid
564,nqrfqr1,0.453,froid
624,nqrfqr1,0.469,froid
696,nqrfqr1,0.482,froid
0,nqrfqr1,0.689,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0.043,froid
123,nqrfqr1,0.088,froid
143,nqrfqr1,0.129,froid
164,nqrfqr1,0.154,froid
184,nqrfqr1,0.181,froid
204,nqrfqr1,0.187,froid
225,nqrfqr1,0.19,froid
245,nqrfqr1,0.2,froid
265,nqrfqr1,0.218,froid
285,nqrfqr1,0.221,froid
305,nqrfqr1,0.234,froid
320,nqrfqr1,0.444,froid
332,nqrfqr1,0.469,froid
346,nqrfqr1,0.603,froid
363,nqrfqr1,0.514,froid
383,nqrfqr1,0.534,froid
408,nqrfqr1,0.553,froid
437,nqrfqr1,0.571,froid
473,nqrfqr1,0.585,froid
515,nqrfqr1,0.597,froid
564,nqrfqr1,0.603,froid
624,nqrfqr1,0.613,froid
696,nqrfqr1,0.622,froid
